"年度","月份","獅頭山風景區(新竹地區)","六福村主題遊樂園","小叮噹科學主題樂園","萬瑞森林樂園","綠世界休閒農場","北埔老街","內灣老街"
"Year","Month","Lion’s Head Mountain Scenic Area-Hsinchu","Leofoo Village Theme Park","Little Ding-Dong Science Theme Park","Wanjui Forest Recreational Area","Green World","Beipu Old Street","Neiwan Old Street"
"113(2024)","1","107696","49349","27323","1771","26170","95958","112492"
"113(2024)","2","161325","81472","32217","3396","45700","126180","114863"
"113(2024)","3","169717","58717","31315","4073","32250","88722","114462"
"113(2024)","4","118853","70330","45836","6576","36600","90702","110488"
"113(2024)","5","99738","61450","33006","1679","28950","75492","111250"
"113(2024)","6","93845","117878","31099","2351","27500","84114","112668"
"113(2024)","7","91415","136836","55833","3836","21950","66456","108756"
"113(2024)","8","82241","213795","70532","2626","26180","77688","110014"
"113(2024)","9","94351","82494","34700","5458","21100","78948","98771"
"113(2024)","10","96581","118084","32473","5932","30000","88344","107722"
"113(2024)","11","97269","132214","37920","3758","32160","92682","108596"
"113(2024)","12","94462","102551","36967","7997","34750","92214","124749"
"總計(Total)","","1307493","1225170","469221","49453","363310","1057500","1334831"